epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3580.9,0.68553,0.33185,0.77719,0.9999,0.77007,0.77,0.69387,0.43948,0.26418,0.76314,0.00618034,0.00618034,0.00618034
66,3614.12,0.59898,0.30238,0.77231,0.99998,0.7727,0.77,0.70714,0.38309,0.24203,0.7603,0.00607916,0.00607916,0.00607916
67,3648.54,0.61002,0.3051,0.77145,1,0.77417,0.775,0.70013,0.43264,0.25705,0.76162,0.00597754,0.00597754,0.00597754
68,3682.72,0.64472,0.31918,0.77332,1,0.74172,0.74,0.66467,0.42307,0.25991,0.76083,0.00587551,0.00587551,0.00587551
69,3747.48,0.59627,0.30222,0.76993,0.9999,0.75023,0.74998,0.68359,0.41566,0.25601,0.76173,0.00577311,0.00577311,0.00577311
70,3781.07,0.60045,0.3035,0.76993,1,0.71572,0.715,0.6354,0.4609,0.2757,0.7628,0.0056704,0.0056704,0.0056704
71,3816.37,0.60484,0.30691,0.77038,1,0.74434,0.745,0.67701,0.41354,0.25295,0.76222,0.00556742,0.00556742,0.00556742
72,4152.29,0.54953,0.28733,0.76928,1,0.77515,0.775,0.7082,0.38911,0.24046,0.75951,0.00546421,0.00546421,0.00546421
73,4253.34,0.53391,0.28,0.76896,0.99989,0.77306,0.77499,0.70496,0.39316,0.24052,0.75861,0.00536081,0.00536081,0.00536081
74,4288.55,0.56607,0.28831,0.76709,1,0.77298,0.775,0.71557,0.3633,0.23426,0.75905,0.00525728,0.00525728,0.00525728
75,4335.21,0.5583,0.28146,0.76822,1,0.7262,0.725,0.67165,0.3495,0.22477,0.75813,0.00515366,0.00515366,0.00515366
76,4367.39,0.51605,0.26779,0.7665,1,0.74051,0.74,0.6937,0.324,0.21351,0.75791,0.00505,0.00505,0.00505
77,4403.83,0.52995,0.27143,0.76705,1,0.75794,0.76,0.69214,0.38541,0.23273,0.75748,0.00494634,0.00494634,0.00494634
78,4436.27,0.53381,0.2739,0.76705,1,0.73943,0.74,0.68873,0.35009,0.22094,0.75703,0.00484272,0.00484272,0.00484272
79,4468.25,0.52206,0.26853,0.7666,1,0.74449,0.745,0.6902,0.35915,0.22101,0.7591,0.00473919,0.00473919,0.00473919
80,4516.3,0.58838,0.2841,0.76756,1,0.75444,0.755,0.69709,0.38606,0.23466,0.75916,0.00463579,0.00463579,0.00463579
81,4548.5,0.56777,0.28296,0.76718,1,0.74003,0.74,0.68434,0.3402,0.21915,0.75797,0.00453258,0.00453258,0.00453258
82,4581.64,0.58711,0.28399,0.77095,1,0.77055,0.77,0.70069,0.40539,0.23343,0.76032,0.0044296,0.0044296,0.0044296
83,4617.16,0.51301,0.25995,0.76685,1,0.76595,0.765,0.70475,0.34953,0.21628,0.75886,0.00432689,0.00432689,0.00432689
84,4649.16,0.50891,0.26115,0.76784,1,0.73944,0.74,0.6863,0.34135,0.21564,0.75758,0.00422449,0.00422449,0.00422449
85,4682.04,0.51508,0.26352,0.76573,1,0.70878,0.71,0.66179,0.35615,0.21961,0.75846,0.00412246,0.00412246,0.00412246
86,4717.65,0.49344,0.25716,0.76507,1,0.73533,0.74,0.69649,0.3104,0.20148,0.75652,0.00402084,0.00402084,0.00402084
87,4750.13,0.52999,0.26581,0.76636,1,0.73899,0.74,0.68551,0.34388,0.2125,0.75699,0.00391966,0.00391966,0.00391966
88,4786.51,0.50908,0.26018,0.76563,1,0.74344,0.745,0.69669,0.33946,0.2165,0.75717,0.00381899,0.00381899,0.00381899
89,4819.25,0.48949,0.25353,0.76543,1,0.74329,0.74,0.69273,0.32135,0.2062,0.7572,0.00371885,0.00371885,0.00371885
90,4852.03,0.48769,0.25147,0.76437,1,0.74386,0.745,0.70447,0.29919,0.2005,0.75669,0.00361929,0.00361929,0.00361929
91,4886.54,0.46912,0.24757,0.76487,1,0.75539,0.755,0.71072,0.3065,0.19939,0.75671,0.00352037,0.00352037,0.00352037
92,4919.48,0.45999,0.24387,0.76421,1,0.75494,0.755,0.713,0.304,0.19912,0.75628,0.00342211,0.00342211,0.00342211
93,4952.21,0.45023,0.23944,0.76305,1,0.74927,0.75,0.71091,0.29088,0.19257,0.75604,0.00332457,0.00332457,0.00332457
94,4991.2,0.47091,0.24348,0.76314,1,0.74631,0.75,0.70603,0.30002,0.19646,0.75631,0.00322778,0.00322778,0.00322778
95,5025.53,0.51574,0.26047,0.76508,1,0.74148,0.74,0.69666,0.31846,0.20664,0.75665,0.0031318,0.0031318,0.0031318
96,5069.65,0.49245,0.2507,0.76472,1,0.73389,0.735,0.69704,0.28581,0.19199,0.75602,0.00303665,0.00303665,0.00303665
97,5104.56,0.44347,0.23419,0.76211,1,0.74391,0.745,0.70728,0.28634,0.18865,0.75612,0.00294239,0.00294239,0.00294239
98,5136.46,0.43316,0.23209,0.76266,0.99998,0.7362,0.735,0.69995,0.28187,0.18787,0.75564,0.00284906,0.00284906,0.00284906
99,5168.43,0.44058,0.23438,0.7629,0.99998,0.74419,0.745,0.70852,0.28222,0.18871,0.75548,0.00275668,0.00275668,0.00275668
100,5202.39,0.45557,0.23925,0.76313,0.99998,0.75642,0.755,0.71387,0.2995,0.19251,0.75614,0.00266532,0.00266532,0.00266532
101,5234.43,0.45742,0.23869,0.76313,0.99998,0.7314,0.73,0.69651,0.27113,0.18268,0.75534,0.002575,0.002575,0.002575
102,5266.76,0.44521,0.23344,0.76197,1,0.75126,0.75,0.70843,0.29707,0.18988,0.75582,0.00248577,0.00248577,0.00248577
103,5373.12,0.4774,0.24329,0.76287,0.99998,0.74433,0.745,0.69975,0.30841,0.1959,0.75624,0.00239766,0.00239766,0.00239766
104,5406.01,0.44182,0.23332,0.76305,0.99998,0.75337,0.75,0.71122,0.28571,0.18795,0.75511,0.00231071,0.00231071,0.00231071
105,5438.95,0.42957,0.22791,0.76252,0.99998,0.73148,0.73,0.69649,0.27001,0.1802,0.7547,0.00222497,0.00222497,0.00222497
106,5470.72,0.41476,0.22359,0.76426,1,0.76125,0.76,0.72307,0.27493,0.18252,0.75514,0.00214046,0.00214046,0.00214046
107,5503.24,0.42112,0.22536,0.76207,1,0.7166,0.72,0.68484,0.2763,0.18162,0.75486,0.00205723,0.00205723,0.00205723
108,5535.23,0.43966,0.2322,0.76299,1,0.76327,0.765,0.72163,0.30435,0.19135,0.75621,0.00197532,0.00197532,0.00197532
109,5568.03,0.45325,0.2339,0.7622,1,0.75007,0.75,0.71717,0.26594,0.1807,0.75532,0.00189475,0.00189475,0.00189475
110,5614.74,0.43526,0.2285,0.76063,1,0.74591,0.745,0.71154,0.26911,0.17905,0.75491,0.00181557,0.00181557,0.00181557
111,5647,0.44244,0.22894,0.76204,1,0.74709,0.75,0.71425,0.28231,0.18285,0.75493,0.0017378,0.0017378,0.0017378
112,5679.49,0.41161,0.22086,0.76285,1,0.75101,0.75,0.71568,0.26531,0.17772,0.75472,0.00166149,0.00166149,0.00166149
113,5711.88,0.40443,0.21764,0.7612,1,0.74104,0.745,0.71409,0.25645,0.17318,0.75459,0.00158667,0.00158667,0.00158667
114,5751.66,0.39153,0.21671,0.76106,1,0.74627,0.75,0.71952,0.25677,0.17336,0.75479,0.00151336,0.00151336,0.00151336
115,5797.76,0.40948,0.2179,0.76082,1,0.74562,0.745,0.71603,0.25757,0.174,0.75417,0.00144161,0.00144161,0.00144161
116,5839.82,0.40481,0.21726,0.76166,1,0.74402,0.745,0.71443,0.25486,0.172,0.7542,0.00137143,0.00137143,0.00137143
117,5967.49,0.4054,0.21659,0.76143,1,0.73919,0.74,0.70773,0.26373,0.17399,0.75426,0.00130287,0.00130287,0.00130287
118,6000.78,0.38969,0.21178,0.76101,1,0.74521,0.745,0.71485,0.25427,0.16958,0.75427,0.00123596,0.00123596,0.00123596
119,6041.42,0.40017,0.21435,0.76021,1,0.73686,0.735,0.7051,0.25888,0.17173,0.75392,0.00117072,0.00117072,0.00117072
120,6073.56,0.38653,0.21155,0.75903,1,0.73961,0.74,0.71175,0.25192,0.16913,0.75406,0.00110718,0.00110718,0.00110718
121,6106.57,0.3906,0.21106,0.76094,1,0.73544,0.74,0.71355,0.24685,0.16752,0.75409,0.00104537,0.00104537,0.00104537
122,6143.57,0.39316,0.21187,0.76039,1,0.76189,0.76,0.73106,0.24942,0.16819,0.75395,0.000985311,0.000985311,0.000985311
123,6176.17,0.38385,0.20983,0.76097,1,0.73361,0.735,0.7078,0.24349,0.16512,0.75372,0.00092704,0.00092704,0.00092704
124,6336.41,0.38801,0.20864,0.75938,1,0.74891,0.75,0.7224,0.24732,0.16653,0.75359,0.000870577,0.000870577,0.000870577
125,6369.34,0.38285,0.20716,0.76068,1,0.73533,0.74,0.71176,0.24416,0.16521,0.75348,0.000815947,0.000815947,0.000815947
126,6402.21,0.38969,0.20746,0.75871,0.99998,0.74666,0.75,0.72211,0.24274,0.16492,0.75367,0.000763174,0.000763174,0.000763174
127,6434.22,0.38693,0.2077,0.76101,1,0.73356,0.735,0.70563,0.24865,0.16649,0.75365,0.000712282,0.000712282,0.000712282
128,6466.51,0.39239,0.20991,0.76062,1,0.73829,0.74,0.7094,0.25597,0.16821,0.75334,0.000663292,0.000663292,0.000663292
129,6499.44,0.39182,0.20953,0.75895,1,0.75282,0.755,0.72438,0.24955,0.16614,0.75322,0.000616227,0.000616227,0.000616227
130,6547.07,0.39015,0.2084,0.75914,1,0.74411,0.745,0.71831,0.24129,0.16242,0.75346,0.000571106,0.000571106,0.000571106
131,6582.42,0.38685,0.20739,0.76057,1,0.73716,0.735,0.70966,0.24134,0.16271,0.75375,0.00052795,0.00052795,0.00052795
132,6615.86,0.37675,0.20334,0.7602,1,0.74552,0.745,0.72073,0.23567,0.16038,0.75329,0.000486777,0.000486777,0.000486777
133,6875.47,0.37241,0.20057,0.75988,1,0.74001,0.74,0.71558,0.2347,0.1591,0.75323,0.000447606,0.000447606,0.000447606
134,6908.24,0.37479,0.20042,0.75961,1,0.74153,0.74,0.71534,0.23586,0.1594,0.75314,0.000410454,0.000410454,0.000410454
135,6940.45,0.36968,0.19931,0.76011,1,0.74216,0.74,0.71569,0.23512,0.15956,0.7533,0.000375337,0.000375337,0.000375337
136,6998.96,0.3448,0.20457,0.76041,1,0.75895,0.755,0.72135,0.26694,0.17418,0.75367,0.00034227,0.00034227,0.00034227
137,7023.08,0.32455,0.19643,0.76016,1,0.73223,0.73,0.70171,0.25422,0.16931,0.75343,0.000311268,0.000311268,0.000311268
138,7046.66,0.31371,0.19062,0.75995,1,0.75347,0.75,0.72209,0.24427,0.16356,0.75286,0.000282345,0.000282345,0.000282345
139,7070.84,0.3071,0.18615,0.75911,1,0.72875,0.73,0.70381,0.24232,0.16256,0.75287,0.000255513,0.000255513,0.000255513
140,7095.05,0.31507,0.18769,0.75976,1,0.74241,0.74,0.71428,0.24228,0.16228,0.75308,0.000230784,0.000230784,0.000230784
141,7118.91,0.30758,0.18433,0.75844,1,0.74767,0.745,0.71891,0.24065,0.16144,0.7528,0.000208169,0.000208169,0.000208169
142,7142.72,0.30907,0.18388,0.75918,1,0.73868,0.74,0.71469,0.23742,0.15912,0.75284,0.000187678,0.000187678,0.000187678
143,7166.77,0.30524,0.18303,0.76013,1,0.73809,0.74,0.71422,0.23776,0.15905,0.75275,0.00016932,0.00016932,0.00016932
144,7190.53,0.29659,0.18048,0.75877,1,0.74164,0.74,0.71521,0.23526,0.15775,0.75289,0.000153102,0.000153102,0.000153102
145,7214.36,0.30267,0.18163,0.75855,1,0.74202,0.74,0.71516,0.23681,0.15818,0.75286,0.000139032,0.000139032,0.000139032
146,7238.45,0.29095,0.17823,0.75904,1,0.73974,0.74,0.71568,0.2353,0.15759,0.75292,0.000127117,0.000127117,0.000127117
147,7262.28,0.29976,0.18028,0.75824,1,0.74073,0.745,0.72052,0.23374,0.15604,0.75271,0.00011736,0.00011736,0.00011736
148,7285.88,0.28744,0.17642,0.7596,1,0.74128,0.745,0.71986,0.23348,0.15611,0.75272,0.000109768,0.000109768,0.000109768
149,7309.81,0.28221,0.17549,0.75947,1,0.73958,0.74,0.71587,0.23262,0.15568,0.75256,0.000104342,0.000104342,0.000104342
150,7334.02,0.29549,0.1775,0.75854,1,0.74164,0.74,0.71637,0.23283,0.15565,0.7526,0.000101086,0.000101086,0.000101086
